n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,40,15.0,leaf,20,1,19.0,0.3672,0.3672,0.5973,0.9132,0.7972,0.9864,,
10,40,15.0,leaf,25,1,24.0,0.3672,0.3672,0.6312,0.8979,0.7577,0.9892,,
10,40,15.0,leaf,30,1,29.0,0.3672,0.3672,0.6539,0.8621,0.7059,0.9906,,
10,40,,eom,10,1,9.0,0.1455,0.1455,0.6252,0.9611,0.8874,0.9529,,
10,40,,eom,15,1,14.0,0.1455,0.1455,0.6297,0.9536,0.8491,0.9735,,
10,40,,eom,20,1,19.0,0.1455,0.1455,0.6319,0.9316,0.7949,0.9814,,
10,40,,eom,25,1,24.0,0.1455,0.1455,0.6218,0.9125,0.7668,0.9849,,
10,40,,eom,30,1,29.0,0.1455,0.1455,0.6813,0.8741,0.7055,0.987,,
10,40,,leaf,10,1,9.0,0.4384,0.4384,0.638,0.95,0.8856,0.972,,
10,40,,leaf,15,1,14.0,0.4384,0.4384,0.6039,0.9393,0.8589,0.9838,,
10,40,,leaf,20,1,19.0,0.4384,0.4384,0.6151,0.9053,0.7913,0.9875,,
10,40,,leaf,25,1,24.0,0.4384,0.4384,0.633,0.9,0.7588,0.9902,,
10,40,,leaf,30,1,29.0,0.4384,0.4384,0.6635,0.8845,0.7314,0.9917,,
15,8,5.0,eom,10,1,9.0,0.2632,0.2632,0.4664,0.95,0.87,0.959,,
15,8,5.0,eom,15,1,14.0,0.2632,0.2632,0.5065,0.9179,0.829,0.9722,,
15,8,5.0,eom,20,1,19.0,0.2632,0.2632,0.5873,0.9105,0.8065,0.9798,,
15,8,5.0,eom,25,1,24.0,0.2632,0.2632,0.6417,0.8896,0.7837,0.9845,,
15,8,5.0,eom,30,1,29.0,0.2632,0.2632,0.6449,0.8776,0.7557,0.988,,
15,8,5.0,leaf,10,1,9.0,0.414,0.414,0.578,0.95,0.8756,0.9698,,
15,8,5.0,leaf,15,1,14.0,0.414,0.414,0.6041,0.9321,0.8393,0.9817,,
15,8,5.0,leaf,20,1,19.0,0.414,0.414,0.5418,0.9079,0.7901,0.9861,,
15,8,5.0,leaf,25,1,24.0,0.414,0.414,0.5912,0.8938,0.7791,0.989,,
15,8,5.0,leaf,30,1,29.0,0.414,0.414,0.5971,0.8862,0.7566,0.991,,
15,8,15.0,eom,10,1,9.0,0.298,0.298,0.48,0.95,0.8845,0.9655,,
15,8,15.0,eom,15,1,14.0,0.298,0.298,0.4772,0.95,0.8514,0.9775,,
15,8,15.0,eom,20,1,19.0,0.298,0.298,0.5974,0.8974,0.7742,0.9838,,
15,8,15.0,eom,25,1,24.0,0.298,0.298,0.6291,0.8979,0.7648,0.9877,,
15,8,15.0,eom,30,1,29.0,0.298,0.298,0.6021,0.8897,0.739,0.9897,,
15,8,15.0,leaf,10,1,9.0,0.4274,0.4274,0.4794,0.9444,0.8736,0.9737,,
15,8,15.0,leaf,15,1,14.0,0.4274,0.4274,0.5604,0.9214,0.8228,0.9817,,
15,8,15.0,leaf,20,1,19.0,0.4274,0.4274,0.5528,0.9184,0.8073,0.9873,,
15,8,15.0,leaf,25,1,24.0,0.4274,0.4274,0.604,0.9021,0.7716,0.9901,,
15,8,15.0,leaf,30,1,29.0,0.4274,0.4274,0.6575,0.8914,0.7451,0.9918,,
15,8,,eom,10,1,9.0,0.2885,0.2885,0.4932,0.9278,0.8827,0.9663,,
15,8,,eom,15,1,14.0,0.2885,0.2885,0.512,0.9286,0.8515,0.978,,
15,8,,eom,20,1,19.0,0.2885,0.2885,0.6369,0.9,0.7921,0.9841,,
15,8,,eom,25,1,24.0,0.2885,0.2885,0.6353,0.8917,0.7681,0.9871,,
15,8,,eom,30,1,29.0,0.2885,0.2885,0.6674,0.8897,0.7601,0.9892,,
15,8,,leaf,10,1,9.0,0.4381,0.4381,0.5624,0.95,0.8795,0.9678,,
15,8,,leaf,15,1,14.0,0.4381,0.4381,0.5277,0.9286,0.8309,0.9827,,
15,8,,leaf,20,1,19.0,0.4381,0.4381,0.5769,0.9158,0.7908,0.9871,,
